,Time Stamp,Temperature (°C),Humidity (%),Pressure (hPa),Dew point (°C)
114,2019-07-17 00:36:42,17.01,100.0,998.69,17.01
115,2019-07-17 00:51:46,17.09,100.0,998.58,17.09
116,2019-07-17 01:06:49,16.97,100.0,998.54,16.97
117,2019-07-17 01:21:52,17.03,100.0,998.57,17.03
118,2019-07-17 01:36:55,16.71,100.0,998.79,16.71
119,2019-07-17 01:51:58,16.69,100.0,998.75,16.69
120,2019-07-17 02:07:02,16.65,100.0,998.83,16.65
121,2019-07-17 02:22:05,16.0,100.0,998.9,16.0
122,2019-07-17 02:37:08,15.28,100.0,998.99,15.28
123,2019-07-17 02:52:12,14.71,100.0,998.99,14.71
124,2019-07-17 03:07:15,14.44,100.0,999.04,14.44
125,2019-07-17 03:22:18,13.85,100.0,998.99,13.85
126,2019-07-17 03:37:21,13.51,100.0,1000.76,13.51
127,2019-07-17 03:52:25,13.37,100.0,1000.4,13.37
128,2019-07-17 04:07:30,13.22,100.0,1000.33,13.22
129,2019-07-17 04:22:33,13.28,100.0,1000.2,13.28
130,2019-07-17 04:37:36,13.33,100.0,1000.29,13.33
131,2019-07-17 04:52:40,12.88,100.0,1000.29,12.88
132,2019-07-17 05:07:43,13.14,100.0,1000.32,13.14
133,2019-07-17 05:22:46,12.91,100.0,1000.17,12.91
134,2019-07-17 05:37:49,13.17,100.0,1000.16,13.17
135,2019-07-17 05:52:52,13.01,100.0,1000.08,13.01
136,2019-07-17 06:07:56,13.07,100.0,1000.19,13.07
137,2019-07-17 06:22:59,13.72,100.0,1000.38,13.72
138,2019-07-17 06:38:02,13.72,100.0,1000.33,13.72
139,2019-07-17 06:53:05,13.7,100.0,1000.35,13.7
140,2019-07-17 07:08:09,14.52,100.0,1000.49,14.52
141,2019-07-17 07:23:12,15.13,100.0,1000.44,15.13
142,2019-07-17 07:38:15,15.44,100.0,1000.51,15.44
143,2019-07-17 07:53:18,15.92,100.0,1000.6,15.92
144,2019-07-17 08:08:21,16.37,100.0,1000.7,16.37
145,2019-07-17 08:23:25,17.74,100.0,1001.5,17.74
146,2019-07-17 08:38:28,17.57,100.0,1001.06,17.57
147,2019-07-17 08:53:31,18.58,100.0,1002.5,18.58
148,2019-07-17 09:08:34,18.41,100.0,1001.75,18.41
149,2019-07-17 09:23:38,19.81,99.24,1001.57,19.66
150,2019-07-17 09:38:41,19.74,95.92,1001.16,18.92
151,2019-07-17 09:53:45,19.27,100.0,1001.43,19.27
152,2019-07-17 10:08:48,17.73,100.0,1001.32,17.73
153,2019-07-17 10:23:51,17.46,100.0,1001.23,17.46
154,2019-07-17 10:38:54,19.76,99.78,1001.31,19.72
155,2019-07-17 10:53:58,17.93,100.0,1001.28,17.93
156,2019-07-17 11:09:01,20.47,98.96,1002.03,20.26
157,2019-07-17 11:24:04,22.04,91.43,1001.88,20.33
158,2019-07-17 11:39:19,22.25,82.06,1001.57,18.66
159,2019-07-17 11:54:22,23.12,79.28,1000.36,18.98
160,2019-07-17 12:09:26,23.97,70.42,1001.2,18.05
161,2019-07-17 12:24:29,21.47,74.32,1000.56,16.33
162,2019-07-17 12:39:32,21.74,65.74,1002.64,14.89
163,2019-07-17 12:54:35,24.97,62.33,1001.34,17.44
164,2019-07-17 13:09:39,25.67,61.17,1000.83,17.9
165,2019-07-17 13:24:42,24.82,55.11,1000.67,15.84
166,2019-07-17 13:39:47,24.16,47.81,1000.25,13.72
167,2019-07-17 13:54:51,23.7,51.2,999.95,13.94
168,2019-07-17 14:09:54,24.7,46.91,999.8,14.08
169,2019-07-17 14:24:57,24.81,45.35,999.64,13.88
170,2019-07-17 14:40:00,24.89,43.95,999.41,13.68
171,2019-07-17 14:55:04,23.15,51.51,999.37,13.45
172,2019-07-17 15:10:07,24.61,46.55,999.47,13.92
173,2019-07-17 15:25:10,24.39,46.86,999.4,13.76
174,2019-07-17 15:40:13,24.08,47.45,999.41,13.57
175,2019-07-17 15:55:16,23.89,49.96,999.31,13.88
176,2019-07-17 16:10:39,22.74,50.55,999.4,12.85
177,2019-07-17 16:25:42,21.15,47.92,999.12,10.73
178,2019-07-17 16:40:45,20.76,51.6,998.99,11.08
179,2019-07-17 16:55:48,20.59,48.82,998.95,10.35
180,2019-07-17 17:10:52,20.46,50.94,999.07,10.65
181,2019-07-17 17:26:11,20.58,53.04,999.01,11.19
182,2019-07-17 17:41:14,20.28,56.01,998.93,11.48
183,2019-07-17 17:56:18,20.17,56.42,999.1,11.45
184,2019-07-17 18:11:21,19.59,59.43,998.82,11.48
185,2019-07-17 18:26:24,19.74,57.75,998.74,11.29
186,2019-07-17 18:41:27,19.66,59.78,998.74,11.62
187,2019-07-17 18:56:31,19.37,60.3,998.68,11.43
188,2019-07-17 19:05:36,19.11,61.64,998.64,11.44
189,2019-07-17 19:20:39,18.93,65.1,998.71,11.95
190,2019-07-17 19:35:58,18.48,69.57,998.72,12.39
191,2019-07-17 19:51:01,18.31,70.5,998.78,12.41
192,2019-07-17 20:06:04,18.03,66.47,998.67,11.32
193,2019-07-17 20:21:08,17.03,72.14,998.66,11.46
194,2019-07-17 20:36:11,16.6,75.75,998.91,11.75
195,2019-07-17 20:51:15,16.4,75.72,998.82,11.54
196,2019-07-17 21:06:18,16.01,78.24,998.89,11.66
197,2019-07-17 22:57:27,15.34,86.89,998.99,12.72
198,2019-07-17 23:12:30,15.11,88.93,999.03,12.9
199,2019-07-17 23:27:33,14.91,92.55,999.1,13.42
200,2019-07-17 23:42:36,14.96,95.12,999.11,13.98
201,2019-07-17 23:57:40,15.23,93.11,999.05,13.85
202,2019-07-18 00:12:43,15.25,95.17,998.46,14.28
203,2019-07-18 00:27:46,15.09,98.52,998.26,14.79
204,2019-07-18 00:42:49,15.26,97.74,1000.14,14.81
205,2019-07-18 00:57:53,15.25,97.41,999.55,14.73
206,2019-07-18 01:12:56,15.15,100.0,999.63,15.15
207,2019-07-18 01:27:59,15.25,97.53,999.23,14.76
208,2019-07-18 01:43:02,15.04,97.28,999.24,14.5
209,2019-07-18 01:58:06,14.84,96.63,999.06,14.17
210,2019-07-18 02:13:09,14.64,98.28,998.85,14.3
211,2019-07-18 02:28:12,14.6,98.57,998.64,14.31
212,2019-07-18 02:43:15,14.39,100.0,998.53,14.39
213,2019-07-18 02:58:18,14.39,100.0,998.56,14.39
214,2019-07-18 03:13:22,14.46,100.0,998.56,14.46
215,2019-07-18 03:28:25,14.36,100.0,998.3,14.36
216,2019-07-18 03:43:28,14.62,100.0,998.39,14.62
217,2019-07-18 03:58:32,14.82,100.0,998.38,14.82
218,2019-07-18 04:13:38,14.58,100.0,998.25,14.58
219,2019-07-18 04:28:42,14.54,100.0,998.42,14.54
220,2019-07-18 04:43:45,14.44,100.0,998.0,14.44
221,2019-07-18 04:58:48,14.24,100.0,997.99,14.24
222,2019-07-18 05:13:51,14.1,100.0,998.01,14.1
223,2019-07-18 05:28:55,13.74,100.0,997.94,13.74
224,2019-07-18 05:43:58,13.46,100.0,998.16,13.46
225,2019-07-18 05:59:01,13.55,100.0,998.11,13.55
226,2019-07-18 06:14:04,13.56,100.0,998.12,13.56
227,2019-07-18 06:29:08,13.63,100.0,998.07,13.63
228,2019-07-18 06:44:11,13.83,100.0,998.36,13.83
229,2019-07-18 06:59:14,14.37,100.0,998.15,14.37
230,2019-07-18 07:14:17,14.89,100.0,998.2,14.89
231,2019-07-18 07:29:20,15.3,100.0,998.17,15.3
232,2019-07-18 07:44:24,15.31,100.0,998.09,15.31
233,2019-07-18 07:59:27,15.4,100.0,998.19,15.4
234,2019-07-18 08:14:30,15.51,100.0,998.07,15.51
235,2019-07-18 08:29:33,15.72,100.0,997.99,15.72
236,2019-07-18 08:44:37,15.51,100.0,998.07,15.51
237,2019-07-18 08:59:40,15.84,100.0,998.02,15.84
238,2019-07-18 09:14:43,16.54,100.0,998.2,16.54
239,2019-07-18 09:29:46,17.83,96.34,998.33,17.1
240,2019-07-18 09:44:50,17.78,89.91,998.34,15.76
241,2019-07-18 09:59:53,17.35,92.18,998.32,15.79
242,2019-07-18 10:14:56,17.07,90.54,998.33,15.18
243,2019-07-18 10:29:59,17.23,91.36,998.43,15.5
244,2019-07-18 10:45:03,19.33,80.49,998.56,15.43
245,2019-07-18 11:00:06,18.05,84.15,998.28,14.88
246,2019-07-18 11:15:09,20.64,76.67,998.21,15.97
247,2019-07-18 11:30:12,20.12,68.06,997.94,13.73
248,2019-07-18 11:45:16,20.41,72.22,998.1,14.85
249,2019-07-18 12:00:19,18.52,78.04,998.09,14.13
250,2019-07-18 12:15:22,22.26,60.01,998.1,14.26
251,2019-07-18 12:30:25,24.06,57.42,998.12,15.54
252,2019-07-18 12:45:29,21.07,64.9,998.06,14.05
253,2019-07-18 13:00:32,20.76,68.2,998.21,14.4
254,2019-07-18 13:15:35,20.95,72.09,998.33,15.37
255,2019-07-18 13:30:38,22.9,65.35,998.28,15.97
256,2019-07-18 13:45:41,22.26,61.91,998.26,14.64
257,2019-07-18 14:00:45,22.51,55.9,998.32,13.69
258,2019-07-18 14:15:48,22.96,59.53,998.44,14.87
259,2019-07-18 14:30:51,21.55,61.93,998.42,13.94
260,2019-07-18 14:45:54,21.72,57.76,998.45,13.27
261,2019-07-18 15:00:58,22.76,50.44,998.63,12.85
262,2019-07-18 15:16:01,22.86,54.44,998.65,13.75
263,2019-07-18 15:31:20,20.81,61.62,998.68,13.13
264,2019-07-18 15:46:24,20.73,61.83,998.71,13.1
265,2019-07-18 16:01:27,20.41,63.85,998.72,13.18
266,2019-07-18 16:16:30,20.74,63.36,998.85,13.41
267,2019-07-18 16:31:33,20.27,63.89,998.84,13.05
268,2019-07-18 16:46:37,20.05,63.23,998.79,12.7
269,2019-07-18 17:01:40,20.1,67.28,998.92,13.56
270,2019-07-18 17:16:43,19.84,67.97,999.05,13.43
